"所有者登録意思区分","所有者登録意思区分名","ＤＭ番号","点検台帳登録区分","点検台帳登録区分名称","所有者票ブランド","所有者票ブランド名称","製品名_通知","製品名_完了","製造番号_通知","製造番号_完了",点検開始年月,点検終了年月,"点検通知種類","点検通知種類名称",点検通知年月,"ステータス","ステータス名","点検受付番号",点検受付日,点検完了日,フロント承認日,"受付区分","受付区分名称","点検状態区分","点検状態区分名称","顧客ID","訪問先都道府県名","訪問先市区町村名",技術料,出張料,その他料金,"回収区分コード","回収区分",未着回数,"保証規定区分コード","保証規定区分コード名称","承認番号","責任部門コード","責任部門コード名称",設計標準使用期間,"システム詳細区分","システム詳細区分名",表示解除区分,表示解除方法通知日,"担当SHOPコード","担当サービスマン",所有者票顧客ID,回収金額,集計基準日,"メーカーコード","メーカー",点検完了受付日,製造年月,所有者有無,"故障表示1",回収予定日,回収完了日,"TC店略称","店略称","キャンセル","受付店","受付者","修理状況","修理状況名称",サポート料,値引き,消費税額,請求合計金額,"点検結果伝票番号","機器分類","請求回収区分","請求回収区分名","請求回収区分変更理由","契約_安心プラン","契約番号","第１業務区分","第１業務区分内容","第２業務区分","第２業務区分内容",無償部品代,無償出張料,無償技術料,無償出張料差額,無償合計,"依頼元名","依頼元カナ","依頼元会社","依頼元電話","請求先名","請求先カナ","請求先会社","請求先電話","価格指示理由","請求先都道府県コード","請求先市区町村名コード",更新日,"請求先部署","請求先宛名","請求先担当","請求先住所","サービスマン名","注文no",修理完了日,"新ステータス","新ステータス名称","マイページ連携仮id","マイページ連携仮pw","マイページid","依頼元コード","訪問先会社名","訪問先部署","訪問先氏名担当者","訪問先氏名担当者カナ","訪問先電話番号","製造番号不明理由","製造番号不明理由内容",訪問予定日１,"依頼元fax番号",無償承認日,"訪問先町名","訪問先番地","訪問先建物名","訪問先部屋番号","旧CIM受付番号","ＤＭ番号Id","TC店略称Id","受付店Id","受付者Id"
"03","登録済","KZC-3100000001","10","点検通知","01","ノーリツ","","","","",2034-01-01,2035-12-01,"","",,"11","点検受付","W000001124",2025-03-10,,,"04","WEB受付","03","受付キャンセル","0WOIp00000012ZiOAI","兵庫県","明石市",0,0,0,"","",,"","","","","",10,"","",0,,"154","",,0,,"01","ノーリツ",,,0,"88",,,"ＮＲ兵庫支店","明石ＳＳ","ITのためキャンセル","コンタクトセンター","自動登録用ユーザー","","",0,0,0,0,"","","01","SS現金徴収","","","","22","あんしん点検","221","あんしん点検",0,0,0,0,0,"くらいいぜる点検法人１","クライイゼルテンケンホウジンイチ","富士通です","0121487801","くらいいぜる点検法人１","クライイゼルテンケンホウジンイチ","","0121487801","","","",2025-04-17 15:53:19,"","","","兵庫県明石市二見町福里２５４１－１テラステージ１１０１","","",,"","","","","","","","","くらいいぜる点検法人１","クライイゼルテンケンホウジンイチ","0121487801","","",,"0121487801",,"二見町福里","２５４１－１","テラステージ","１１０１","","a1XIp000000PES9MAO","0HhIp00000002hVKAQ","0HhIp0000004DIfKAM","005Ip000000fEbOIAU"
"03","登録済","KZP-3000000001","10","点検通知","01","ノーリツ","","","","",2034-01-01,2035-12-01,"","",,"12","訪問前キャンセル","W000001159",2025-03-11,,,"04","WEB受付","03","受付キャンセル","0WOIp00000012cXOAQ","兵庫県","明石市",0,0,0,"","",,"","","","","",10,"","",0,,"154","",,0,,"01","ノーリツ",,,0,"88",,,"ＮＲ兵庫支店","明石ＳＳ","再実施のため。","コンタクトセンター","自動登録用ユーザー","","",0,0,0,0,"","","01","SS現金徴収","","","","22","あんしん点検","221","あんしん点検",0,0,0,0,0,"くらいぜる点検個人１","クライゼルテンケンコジンイチ","","0121488801","くらいぜる点検個人１","クライゼルテンケンコジンイチ","","0121488801","","","",2025-04-17 15:52:47,"","","","明石市二見町福里２３４１－１テラステージ１０１","","",,"","","","","","","","","くらいぜる点検個人１","クライゼルテンケンコジンイチ","0121488801","","",,"",,"二見町福里","２３４１－１","テラステージ","１０１","","a1XIp000000PEI9MAO","0HhIp00000002hVKAQ","0HhIp0000004DIfKAM","005Ip000000fEbOIAU"
"03","登録済","KZP-3000000002","10","点検通知","01","ノーリツ","","","","",2024-01-01,2035-12-01,"","",,"11","点検受付","W000001160",2025-03-11,,,"04","WEB受付","03","受付キャンセル","0WOIp00000012ccOAA","兵庫県","明石市",0,0,0,"","",,"","","","","",10,"","",0,,"154","",,0,,"01","ノーリツ",,,0,"88",,,"ＮＲ兵庫支店","明石ＳＳ","再実施のため。","コンタクトセンター","自動登録用ユーザー","","",0,0,0,0,"","","01","SS現金徴収","","","","22","あんしん点検","221","あんしん点検",0,0,0,0,0,"くらいぜる点検個人２","クライゼルテンケンコジンニ","","0121488802","くらいぜる点検個人２","クライゼルテンケンコジンニ","","0121488802","","","",2025-04-17 15:52:18,"","","","明石市二見町福里２３４１－２テンプラステージ１０２","","",,"","","","","","","","","くらいぜる点検個人２","クライゼルテンケンコジンニ","0121488802","","",,"",,"二見町福里","２３４１－２","テンプラステージ","１０２","","a1XIp000000PEIEMA4","0HhIp00000002hVKAQ","0HhIp0000004DIfKAM","005Ip000000fEbOIAU"
"03","登録済","KZP-3000000001","10","点検通知","01","ノーリツ","","","","",2034-01-01,2035-12-01,"","",,"12","訪問前キャンセル","W000001207",2025-03-13,,,"04","WEB受付","03","受付キャンセル","0WOIp00000012gPOAQ","兵庫県","明石市",0,0,0,"","",,"","","","","",10,"","",0,,"154","",,0,,"01","ノーリツ",,,0,"88",,,"ＮＲ兵庫支店","明石ＳＳ","再実施のため。","コンタクトセンター","自動登録用ユーザー","","",0,0,0,0,"","","01","SS現金徴収","","","","22","あんしん点検","221","あんしん点検",0,0,0,0,0,"くらいぜる点検個人１","クライゼルテンケンコジンイチ","","0121488801","くらいぜる点検個人１","クライゼルテンケンコジンイチ","","0121488801","","","",2025-04-17 15:50:25,"","","","明石市二見町福里２３４１－１テラステージ１０１","","",,"","","","","","","","","くらいぜる点検個人１","クライゼルテンケンコジンイチ","0121488801","","",,"",,"二見町福里","２３４１－１","テラステージ","１０１","","a1XIp000000PEI9MAO","0HhIp00000002hVKAQ","0HhIp0000004DIfKAM","005Ip000000fEbOIAU"
"03","登録済","KZP-3000000002","10","点検通知","01","ノーリツ","","","","",2024-01-01,2035-12-01,"","",,"11","点検受付","W000001208",2025-03-13,,,"04","WEB受付","03","受付キャンセル","0WOIp00000012gUOAQ","兵庫県","明石市",0,0,0,"","",,"","","","","",10,"","",0,,"154","",,0,,"01","ノーリツ",,,0,"88",,,"ＮＲ兵庫支店","明石ＳＳ","再実施のため。","コンタクトセンター","自動登録用ユーザー","","",0,0,0,0,"","","01","SS現金徴収","","","","22","あんしん点検","221","あんしん点検",0,0,0,0,0,"くらいぜる点検個人２","クライゼルテンケンコジンニ","","0121488802","くらいぜる点検個人２","クライゼルテンケンコジンニ","","0121488802","","","",2025-04-17 15:52:37,"","","","明石市二見町福里２３４１－２テンプラステージ１０２","","",,"","","","","","","","","くらいぜる点検個人２","クライゼルテンケンコジンニ","0121488802","","",,"",,"二見町福里","２３４１－２","テンプラステージ","１０２","","a1XIp000000PEIEMA4","0HhIp00000002hVKAQ","0HhIp0000004DIfKAM","005Ip000000fEbOIAU"
"04","不明","REC-2503000002","20","点検受付","","","","","","",,,"REC","REC：点検受付",,"12","訪問前キャンセル","W000001209",2025-03-13,,,"04","WEB受付","05","訪問前キャンセル","0WOIp00000012gZOAQ","兵庫県","明石市",0,0,0,"","",0,"","","","","",,"","",0,,"154","",,0,,"01","ノーリツ",2025-03-13 20:40:18,,0,"",,,"ＮＲ兵庫支店","明石ＳＳ","ITのためキャンセル","コンタクトセンター","自動登録用ユーザー","","",0,0,0,0,"","","01","SS現金徴収","","","","22","あんしん点検","221","あんしん点検",0,0,0,0,0,"くらいぜる点検個人４","クライゼルテンケンコジンヨン","","0121488804","くらいぜる点検個人４","クライゼルテンケンコジンヨン","","0121488804","","","",2025-04-17 15:49:50,"","","","明石市二見町福里２３４１－４テンプラステージ１０４","","",,"","","","","","","","","くらいぜる点検個人４","クライゼルテンケンコジンヨン","0121488804","","",,"",,"二見町福里","２３４１－４","テンプラステージ","１０４","","a1XIp000000PFI7MAO","0HhIp00000002hVKAQ","0HhIp0000004DIfKAM","005Ip000000fEbOIAU"
"03","登録済","KZP-3000000001","10","点検通知","01","ノーリツ","","","","",2034-01-01,2035-12-01,"","",,"12","訪問前キャンセル","W000001210",2025-03-13,,,"04","WEB受付","05","訪問前キャンセル","0WOIp00000012geOAA","兵庫県","明石市",0,0,0,"","",,"","","","","",10,"","",0,,"154","",,0,,"01","ノーリツ",2025-03-13 20:42:16,,0,"88",,,"ＮＲ兵庫支店","明石ＳＳ","再実施のため。","コンタクトセンター","自動登録用ユーザー","","",0,0,0,0,"","","01","SS現金徴収","","","","22","あんしん点検","221","あんしん点検",0,0,0,0,0,"くらいぜる点検個人１","クライゼルテンケンコジンイチ","","0121488801","くらいぜる点検個人１","クライゼルテンケンコジンイチ","","0121488801","","","",2025-04-17 15:51:38,"","","","明石市二見町福里２３４１－１テラステージ１０１","","",,"","","","","","","","","くらいぜる点検個人１","クライゼルテンケンコジンイチ","0121488801","","",,"",,"二見町福里","２３４１－１","テラステージ","１０１","","a1XIp000000PEI9MAO","0HhIp00000002hVKAQ","0HhIp0000004DIfKAM","005Ip000000fEbOIAU"
"","","REC-2503000006","20","点検受付","","","","","","",,,"REC","REC：点検受付",,"12","訪問前キャンセル","W000001215",2025-03-13,,,"04","WEB受付","05","訪問前キャンセル","0WOIp00000012h3OAA","兵庫県","明石市",0,0,0,"","",0,"","","","","",,"","",0,,"154","",,0,,"01","ノーリツ",2025-03-13 20:55:03,,0,"",,,"ＮＲ兵庫支店","明石ＳＳ","ITのためキャンセル","コンタクトセンター","自動登録用ユーザー","","",0,0,0,0,"","","01","SS現金徴収","","","","22","あんしん点検","221","あんしん点検",0,0,0,0,0,"くらいぜる点検個人１０","クライゼルテンケンコジンジュウ","","0121488810","くらいぜる点検個人１０","クライゼルテンケンコジンジュウ","","0121488810","","","",2025-04-17 15:49:44,"","","","明石市二見町福里２３４１－１０テンプラステージ１１０","","",,"","","","","","","","","くらいぜる点検個人１０","クライゼルテンケンコジンジュウ","0121488810","","",,"",,"二見町福里","２３４１－１０","テンプラステージ","１１０","","a1XIp000000PFIRMA4","0HhIp00000002hVKAQ","0HhIp0000004DIfKAM","005Ip000000fEbOIAU"
"","","REC-2503000016","20","点検受付","","","","","","",,,"REC","REC：点検受付",,"12","訪問前キャンセル","W000001270",2025-03-17,,,"01","電話受付","05","訪問前キャンセル","0WOIp00000012lUOAQ","兵庫県","神戸市垂水区",0,0,0,"","",0,"","","","","",,"","",0,,"154","PT001825",,0,,"","",2025-03-17 16:25:06,,0,"",,,"ＮＲ兵庫支店","明石ＳＳ","テスト","","深田 亮介","","",0,0,0,0,"","","01","SS現金徴収","","","","20","法定点検","","",0,0,0,0,0,"テスト","テスト","","0123456789","テスト","テスト","","0123456789","","","",2025-04-17 15:52:53,"","","","兵庫県神戸市垂水区大町１丁目","","",,"","","","","","","","","テスト","テスト","0123456789","","",2025-03-17,"",,"大町１丁目","","","","","a1XIp000000PFZ2MAO","0HhIp00000002hVKAQ","","005Ip000000f4TFIAY"
"03","登録済","KZP-3000000003","10","点検通知","01","ノーリツ","","","","",2034-01-01,2035-12-01,"","",,"12","訪問前キャンセル","W000001287",2025-03-18,,,"04","WEB受付","05","訪問前キャンセル","0WOIp00000012mrOAA","兵庫県","明石市",0,0,0,"","",,"","","","","",10,"","",0,,"154","",,0,,"01","ノーリツ",2025-03-18 17:08:24,,0,"",,,"ＮＲ兵庫支店","明石ＳＳ","不要","コンタクトセンター","自動登録用ユーザー","","",0,0,0,0,"","","01","SS現金徴収","","","","22","あんしん点検","221","あんしん点検",0,0,0,0,0,"くらいぜる点検個人４","クライゼルテンケンコジンヨン","","0121488804","くらいぜる点検個人４","クライゼルテンケンコジンヨン","","0121488804","","","",2025-04-17 15:53:31,"","","","明石市二見町福里２３４１－４テンプラステージ１０４","","",,"","","","","","","","","くらいぜる点検個人４","クライゼルテンケンコジンヨン","0121488804","","",,"",,"二見町福里","２３４１－４","テンプラステージ","１０４","","a1XIp000000PEIJMA4","0HhIp00000002hVKAQ","0HhIp0000004DIfKAM","005Ip000000fEbOIAU"
